Season,First Name,Last Name,Team,Age,PP,2P,WAR,GB,GP,PA,AB,H,HR,AVG,OBP,SLG,OPS,R,1B,2B,3B,RBI,XBH,SB,CS,BB,K,wOBA,ISO,BABIP,SH,SF,TB,HBP,E,PB,PA/G,AB/HR,K%,BB%,XBH%,wRAA,wSB,Def,Pos,Corr,RAA,WAA,WAR,qAVG,Aggr,SB%,RS%,E/GF,PB/GF,adjBA
1,Piazza,Taylor,VAL,27,CF,OF,1.9,71,73,249,228,68,4,.298,.340,.425,.766,35,48,15,1,31,20,7,1,15,42,.335,.127,.346,2,3,97,1,2,0,3.4,57.0,0.184,.060,.294,2.60,0.90,-0.72,-0.78,0.289,2.29,0.22,1.9,0.298,0.125,0.875,0.388,0.032,0.000,0.257
1,Karter,Blacksmith,PAL,31,SS,3B,1.9,78,80,256,234,71,4,.303,.352,.436,.787,34,49,17,1,35,22,0,0,15,28,.346,.132,.327,0,3,102,4,7,0,3.2,58.5,0.12,.059,.310,2.43,-0.05,-1.34,0.63,0.297,1.98,0.19,1.9,0.303,0.000,0.000,0.349,0.101,0.000,0.276
1,Iker,Norwest,PDX,24,2B,,2.7,76,80,264,243,75,8,.309,.352,.494,.846,41,50,13,4,34,25,5,2,15,37,.368,.185,.337,3,1,120,2,2,0,3.3,30.4,0.152,.057,.333,6.99,0.05,1.83,0.30,0.306,9.49,0.93,2.7,0.309,0.104,0.714,0.393,0.030,0.000,0.277
1,Julian,Lance,BBR,22,1B,3B,2.8,77,80,261,242,76,13,.314,.355,.545,.901,37,46,17,0,42,30,0,2,15,66,.390,.231,.384,2,1,132,1,2,0,3.3,18.6,0.273,.057,.395,12.49,-0.94,-0.15,-1.34,0.303,10.36,1.02,2.8,0.314,0.032,0.000,0.304,0.029,0.000,0.256
1,Malachi,Koch,CDMX,37,3B,SS,1.5,77,80,250,228,57,8,.250,.302,.425,.728,34,36,10,3,35,21,13,1,14,73,.318,.175,.329,2,2,97,4,8,0,3.1,28.5,0.32,.056,.368,-2.38,2.11,-2.33,0.06,0.290,-2.25,-0.22,1.5,0.250,0.259,0.929,0.388,0.117,0.000,0.229
1,Geronimo,Morton,JSB,25,RF,LF,1.1,78,80,269,248,64,6,.258,.313,.375,.688,25,47,11,0,22,17,2,0,14,43,.307,.117,.291,1,0,93,6,3,0,3.4,41.3,0.173,.052,.266,-3.79,0.35,-1.11,-2.86,0.312,-7.10,-0.70,1.1,0.258,0.030,1.000,0.244,0.043,0.000,0.265
1,Jeremiah,Walker,DAK,26,3B,SS,1.0,76,80,239,218,58,2,.266,.321,.362,.683,27,42,13,1,22,16,7,3,14,44,.305,.096,.324,2,1,79,4,7,0,3.0,109.0,0.202,.059,.276,-4.72,0.01,-1.60,0.06,0.277,-5.98,-0.59,1.0,0.266,0.167,0.700,0.338,0.104,0.000,0.246
1,Gabe,Hart,CHI,26,CF,1B/OF,1.7,66,80,228,210,60,6,.286,.335,.419,.754,33,45,8,1,27,15,2,2,14,53,.333,.133,.355,1,1,88,2,0,0,2.9,35.0,0.252,.061,.250,1.39,-0.54,0.81,-0.54,0.265,1.37,0.13,1.7,0.286,0.066,0.500,0.386,0.000,0.000,0.244
1,Nixon,Hoover,NYN,37,1B,,2.3,78,80,270,248,73,12,.294,.335,.508,.843,38,44,17,0,39,29,0,0,14,33,.363,.214,.295,1,4,126,3,1,0,3.4,20.7,0.133,.052,.397,7.05,-0.04,-0.22,-2.32,0.313,4.79,0.47,2.3,0.294,0.000,0.000,0.333,0.014,0.000,0.294
1,Archibald,Turnpike,BSD,25,SS,3B,1.3,69,80,222,204,55,8,.270,.312,.422,.734,28,40,7,0,30,15,2,2,13,53,.321,.152,.322,1,3,86,1,7,0,2.8,25.5,0.26,.059,.273,-0.33,-0.54,-1.82,0.56,0.258,-1.87,-0.18,1.3,0.270,0.074,0.500,0.328,0.114,0.000,0.250
1,Valentina,Vu,PIT,34,SS,2B,2.5,74,80,259,241,67,15,.278,.315,.510,.826,36,41,11,0,48,26,5,2,13,49,.357,.232,.291,2,2,123,1,3,0,3.2,16.1,0.203,.050,.388,6.27,0.06,1.39,-0.71,0.301,7.30,0.72,2.5,0.278,0.127,0.714,0.318,0.046,0.000,0.283
1,Jason,Waterfalls,DAK,35,CF,1B,0.0,74,80,249,231,47,3,.203,.254,.277,.531,30,37,6,1,22,10,5,0,12,52,.240,.074,.249,1,1,64,4,1,0,3.1,77.0,0.225,.048,.213,-17.81,0.96,-0.10,-0.80,0.289,-17.46,-1.71,0.0,0.203,0.094,1.000,0.450,0.015,0.000,0.242
1,Womp,Fleshman,SEO,36,LF,OF,-0.4,69,80,227,209,41,3,.196,.247,.273,.519,25,31,7,0,20,10,10,0,11,39,.235,.077,.224,0,3,57,4,4,0,2.8,69.7,0.187,.048,.244,-20.18,1.97,-2.14,0.63,0.263,-19.46,-1.91,-0.4,0.196,0.217,1.000,0.415,0.065,0.000,0.254
1,Princeton,Fair,CHI,30,RF,LF,0.0,64,77,220,205,44,6,.215,.257,.351,.608,15,28,10,0,29,16,1,0,11,49,.268,.137,.252,2,1,72,1,5,0,2.9,34.2,0.239,.050,.364,-10.05,0.17,-2.91,-2.35,0.255,-14.88,-1.46,0.0,0.215,0.025,1.000,0.180,0.088,0.000,0.249
1,Hairy,Molina,BBR,27,3B,2B,1.1,80,80,275,259,61,9,.236,.269,.390,.659,29,40,11,1,28,21,5,0,11,63,.288,.154,.274,0,3,101,2,1,0,3.4,28.8,0.243,.040,.344,-9.20,0.96,2.82,-2.24,0.319,-7.34,-0.72,1.1,0.236,0.094,1.000,0.308,0.014,0.000,0.251
1,Crescent,Malone,JAK,32,2B,SS,1.8,69,80,216,201,56,11,.279,.319,.493,.812,31,35,10,0,37,21,1,1,11,51,.352,.214,.319,0,2,99,2,5,0,2.7,18.3,0.254,.051,.375,4.44,-0.28,-0.57,-0.17,0.251,3.67,0.36,1.8,0.279,0.042,0.500,0.345,0.082,0.000,0.262
1,Annabelle,Nolan,NYN,32,RF,C,2.0,69,80,229,209,64,7,.306,.348,.435,.783,31,51,6,0,25,13,1,0,11,34,.344,.129,.333,2,3,91,4,0,0,2.9,29.9,0.163,.048,.203,2.63,0.15,1.03,0.48,0.266,4.56,0.45,2.0,0.306,0.015,1.000,0.333,0.000,0.000,0.275
1,Splash,Pearson,MUN,33,1B,,-0.3,68,68,219,205,35,9,.171,.210,.341,.552,14,18,8,0,28,17,1,0,10,55,.241,.171,.181,0,3,70,1,0,0,3.2,22.8,0.268,.046,.486,-16.66,0.18,0.50,-2.02,0.254,-17.75,-1.74,-0.3,0.171,0.034,1.000,0.135,0.000,0.000,0.250
1,Kole,Guerra,MSLA,31,CF,OF,1.8,72,80,266,250,65,15,.260,.289,.480,.769,42,40,10,0,43,25,0,2,10,57,.331,.220,.275,0,4,120,2,0,0,3.3,16.7,0.228,.038,.385,0.00,-0.94,0.86,-0.79,0.309,-0.55,-0.05,1.8,0.260,0.038,0.000,0.435,0.000,0.000,0.274
1,Plunder,Grant,MTL,31,C,,1.8,64,80,217,202,53,11,.262,.310,.475,.785,31,32,10,0,31,21,0,0,9,39,.343,.213,.276,1,0,96,5,0,1,2.7,18.4,0.193,.041,.396,1.29,-0.03,0.35,1.22,0.252,3.08,0.30,1.8,0.262,0.000,0.000,0.357,0.000,0.018,0.280
1,Godfried,Bessie,BOS,26,CF,OF,-0.1,6,36,8,7,0,0,.000,.125,.000,.125,0,0,0,0,0,0,0,0,1,2,.086,.000,.000,0,0,0,0,0,0,0.2,Infinity,0.286,.125,NaN,-1.63,0.00,0.07,-0.07,0.009,-1.61,-0.16,-0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.214
1,Ada,Plough,BUS,25,RF,LF,0.0,3,34,6,4,0,0,.000,.333,.000,.333,0,0,0,0,0,0,0,0,1,1,.235,.000,.000,0,0,0,1,0,0,0.2,Infinity,0.25,.167,NaN,-0.52,0.00,0.05,-0.11,0.007,-0.57,-0.06,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.225
1,Harvey,Bennett,HAV,27,2B,,0.1,3,30,3,1,0,0,.000,.667,.000,.667,0,0,0,0,0,0,0,0,2,0,.460,.000,.000,0,0,0,0,0,0,0.1,Infinity,0,.667,NaN,0.33,0.00,0.13,0.01,0.003,0.48,0.05,0.1,0.000,0.000,0.000,0.000,0.000,0.000,0.300
1,Blaze,Henderson,MUN,28,SS,3B,0.0,1,18,1,1,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0,0,0,0,0,0,0.1,Infinity,0,.000,NaN,-0.27,0.00,0.05,0.01,0.001,-0.21,-0.02,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.300
